areaId	areaName	round	ballots	totalPts	Chris ALEXANDER	Maxime BERNIER	Steven BLANEY	Michael CHONG	Kellie LEITCH	Pierre LEMIEUX	Deepak OBHRAI	Kevin O'LEARY	Erin O'TOOLE	Rick PETERSON	Lisa RAITT	Andrew SAXTON	Andrew SCHEER	Brad TROST	Undervotes	Remainder
111	Marc-Aurèle-Fortin	0	49	99.99995	0	24	3	0	3	2	0	2	2	0	1	0	6	6	0	0.00005
112	Saint-Hyacinthe–Bagot	0	114	99.99998	2	21	7	0	7	0	0	0	7	0	0	0	70	0	0	0.00002
113	Saint-Jean	0	98	99.99995	1	24	8	0	5	3	0	0	8	0	1	0	43	4	0	0.00005
114	Saint-Laurent	0	170	99.99997	4	72	0	4	9	4	0	2	7	0	2	0	9	56	0	0.00003
115	Saint-Léonard–Saint-Michel	0	45	99.99997	0	26	1	2	6	1	0	0	3	0	0	0	6	0	0	0.00003
116	Saint-Maurice–Champlain	0	71	99.99998	0	26	2	0	5	0	0	0	4	0	1	0	32	1	0	0.00002
117	Salaberry–Suroît	0	107	99.99993	1	29	8	2	4	5	0	1	5	0	1	0	51	0	0	0.00007
118	Shefford	0	115	99.99997	3	15	6	0	0	9	0	0	4	0	1	0	75	2	0	0.00003
119	Sherbrooke	0	53	99.99995	0	24	1	3	2	9	0	1	2	0	0	0	8	3	0	0.00005
120	Vaudreuil–Soulanges	0	121	99.99995	0	48	2	5	16	12	0	1	7	2	4	1	11	11	0	0.00005
121	Terrebonne	0	31	99.99997	1	19	2	0	0	0	0	0	4	0	0	0	3	2	0	0.00003
122	Trois-Rivières	0	54	99.99997	0	31	3	0	2	0	0	1	3	2	0	1	11	0	0	0.00003
123	Ville-Marie–Le Sud-Ouest–Île-des-Soeurs	0	175	99.99995	5	72	7	30	11	5	0	3	12	4	7	1	11	7	0	0.00005
124	Vimy	0	94	99.99994	0	39	2	2	6	7	0	0	13	0	0	0	10	15	0	0.00006
125	Ajax	0	444	99.99996	85	111	0	25	16	55	0	3	50	0	5	5	62	27	0	0.00004
126	Algoma–Manitoulin–Kapuskasing	0	245	99.99993	1	58	2	9	41	24	0	5	36	0	7	0	44	18	0	0.00007
127	Aurora–Oak Ridges–Richmond Hill	0	832	99.99994	4	119	2	55	45	32	0	8	46	3	14	0	105	399	0	0.00006
128	Barrie–Innisfil	0	481	99.99996	2	169	1	22	48	31	0	8	88	4	21	1	48	37	0	0.00004
129	Barrie–Springwater–Oro-Medonte	0	513	99.99994	5	211	1	37	41	35	1	5	75	3	22	0	50	26	0	0.00006
130	Bay of Quinte	0	510	99.99993	4	112	2	35	47	54	0	3	124	5	13	5	91	15	0	0.00007
131	Beaches–East York	0	397	99.99993	2	107	0	129	15	14	0	4	43	0	38	1	30	14	0	0.00007
132	Brampton Centre	0	221	99.99992	8	43	0	13	23	24	2	5	27	1	5	1	51	18	0	0.00008
133	Brampton East	0	318	99.99994	26	64	0	8	20	9	23	2	9	0	3	0	145	8	0	0.00006
134	Brampton North	0	266	99.99992	6	56	1	17	23	25	16	4	24	0	6	0	66	22	0	0.00008
135	Brampton South	0	292	99.99995	4	63	2	42	21	33	14	7	22	1	6	2	59	16	0	0.00005
136	Brampton West	0	217	99.99992	6	41	1	25	24	16	10	5	15	0	2	0	64	8	0	0.00008
137	Brantford–Brant	0	487	99.99993	5	103	0	21	36	73	5	6	61	2	44	0	82	48	0	0.00007
138	Bruce–Grey–Owen Sound	0	767	99.99993	5	140	1	70	58	75	0	9	158	4	52	1	153	41	0	0.00007
139	Burlington	0	750	99.99994	10	191	1	77	42	81	0	14	116	4	67	1	107	38	0	0.00006
140	Cambridge	0	485	99.99994	6	109	6	41	17	85	0	13	60	1	13	1	89	43	0	0.00006
141	Chatham-Kent–Leamington	0	435	99.99993	3	94	1	32	25	57	0	13	67	3	14	1	83	42	0	0.00007
142	Davenport	0	250	100	2	30	0	153	5	18	3	3	10	1	8	0	10	7	0	0.00000
143	Don Valley East	0	280	99.99995	9	70	0	25	17	18	3	2	28	0	13	1	54	40	0	0.00005
144	Don Valley North	0	636	99.99997	5	97	0	33	25	33	3	0	30	1	16	0	96	296	0	0.00003
145	Don Valley West	0	808	99.99993	25	260	3	135	49	24	3	17	89	4	59	9	71	59	0	0.00007
146	Dufferin–Caledon	0	760	99.99994	4	175	5	112	49	81	7	13	69	2	28	4	170	40	0	0.00006
147	Durham	0	851	99.99994	6	94	0	15	36	67	2	21	491	2	5	0	66	46	0	0.00006
148	Eglinton–Lawrence	0	595	99.99993	7	188	2	105	55	15	3	9	82	5	31	5	59	28	0	0.00007
149	Elgin–Middlesex–London	0	735	99.99993	5	140	2	33	53	99	0	14	141	4	19	4	157	64	0	0.00007
150	Essex	0	464	99.99995	1	138	1	14	36	65	0	14	36	3	17	1	101	37	0	0.00005
151	Etobicoke Centre	0	594	99.99996	12	195	2	53	42	60	0	18	69	0	19	1	71	52	0	0.00004
152	Etobicoke–Lakeshore	0	619	99.99994	19	188	3	94	48	38	1	14	68	3	32	3	64	44	0	0.00006
153	Etobicoke North	0	247	99.99992	10	51	1	12	13	25	5	2	8	1	1	0	97	21	0	0.00008
154	Flamborough–Glanbrook	0	547	99.99994	3	121	0	43	37	116	1	3	49	2	32	1	89	50	0	0.00006
155	Glengarry–Prescott–Russell	0	654	99.99989	3	131	4	10	22	253	0	4	68	1	13	1	128	16	0	0.00011
156	Guelph	0	641	99.99993	9	107	4	259	40	47	1	4	52	1	20	0	66	31	0	0.00007
157	Haldimand–Norfolk	0	522	99.99994	2	116	2	20	47	78	0	12	61	3	28	3	90	59	0	0.00006
158	Haliburton–Kawartha Lakes–Brock	0	684	99.99993	5	177	5	28	51	59	2	14	204	2	12	1	78	46	0	0.00007
159	Hamilton Centre	0	248	99.99993	2	61	1	77	20	23	1	5	26	1	4	1	15	11	0	0.00007
160	Hamilton East–Stoney Creek	0	182	99.99994	2	62	0	10	27	11	0	1	18	1	6	1	37	5	0	0.00006
161	Hamilton Mountain	0	197	99.99994	1	50	0	13	28	23	0	6	14	2	11	1	33	14	0	0.00006
162	Hamilton West–Ancaster–Dundas	0	566	99.99994	9	134	3	66	51	55	0	9	51	8	21	0	93	64	0	0.00006
163	Hastings–Lennox and Addington	0	500	99.99996	1	121	6	27	42	50	0	13	90	2	25	8	77	37	0	0.00004
164	Huron–Bruce	0	679	99.99994	1	92	1	48	68	90	0	8	151	7	16	2	126	68	0	0.00006
165	Kanata–Carleton	0	965	99.99993	10	292	9	92	49	75	3	13	121	6	55	2	158	79	0	0.00007
166	Kenora	0	221	99.99997	1	77	2	11	19	21	0	2	37	4	4	0	37	5	0	0.00003
167	King–Vaughan	0	525	99.9999	11	155	4	37	64	11	5	7	16	2	8	2	69	133	0	0.00010
168	Kingston and the Islands	0	551	99.99994	5	127	3	90	41	48	0	7	94	3	27	0	77	27	0	0.00006
169	Kitchener Centre	0	468	99.99994	0	79	0	105	30	78	1	3	58	1	18	1	46	47	0	0.00006
170	Kitchener–Conestoga	0	623	99.99996	1	115	1	68	20	71	1	7	180	1	10	0	75	72	0	0.00004
171	Kitchener South–Hespeler	0	414	99.99995	3	104	0	51	24	47	0	6	76	2	16	0	41	44	0	0.00005
172	Lambton–Kent–Middlesex	0	763	99.99992	3	122	11	27	63	96	2	12	106	7	24	2	224	62	0	0.00008
173	Lanark–Frontenac–Kingston	0	765	99.99992	2	183	6	54	62	80	1	9	130	6	29	3	166	34	0	0.00008
174	Leeds–Grenville–Thousand Islands and Rideau Lakes	0	695	99.99996	7	139	4	55	59	62	1	5	158	3	23	1	140	36	0	0.00004
175	London–Fanshawe	0	347	99.99992	2	104	2	15	40	42	1	4	32	0	9	2	60	34	0	0.00008
176	London North Centre	0	672	99.99994	10	164	2	81	39	41	4	15	98	2	14	0	87	115	0	0.00006
177	London West	0	748	99.99994	9	215	2	100	41	77	1	8	90	4	13	0	126	61	0	0.00006
178	Markham–Stouffville	0	628	99.99991	21	167	1	43	48	44	2	3	48	2	10	3	97	138	0	0.00009
179	Markham–Thornhill	0	376	99.99994	2	61	0	29	9	18	1	3	20	0	6	0	112	115	0	0.00006
180	Markham–Unionville	0	877	99.99994	7	139	1	31	7	20	4	5	21	2	11	0	121	508	0	0.00006
181	Milton	0	658	99.99995	5	135	2	41	24	55	9	2	34	0	196	0	123	32	0	0.00005
182	Mississauga Centre	0	452	99.99992	8	103	1	47	28	22	2	2	18	0	4	0	133	83	0	0.00008
183	Mississauga East–Cooksville	0	287	99.99994	7	63	1	23	39	21	0	4	26	1	6	0	48	48	0	0.00006
184	Mississauga–Erin Mills	0	863	99.99991	8	149	1	70	50	55	1	4	28	2	19	3	331	141	0	0.00009
185	Mississauga–Lakeshore	0	664	99.99996	11	204	6	65	44	44	0	7	83	7	34	3	80	75	0	0.00004
186	Mississauga–Malton	0	314	99.99993	15	52	1	25	22	13	6	5	12	2	5	3	90	63	0	0.00007
187	Mississauga–Streetsville	0	670	99.99993	12	136	1	44	56	37	7	2	43	1	19	1	227	83	0	0.00007
188	Nepean	0	828	99.99992	2	221	1	84	65	61	12	5	115	7	64	5	133	52	0	0.00008
189	Newmarket–Aurora	0	591	99.99995	8	145	7	34	40	29	3	4	80	6	17	1	71	145	0	0.00005
190	Niagara Centre	0	336	99.99992	3	99	3	15	30	55	1	5	34	4	8	0	54	25	0	0.00008
191	Niagara Falls	0	547	99.99996	5	155	1	25	71	55	0	8	74	2	25	4	75	46	0	0.00004
192	Niagara West	0	685	99.99992	3	126	2	41	34	131	1	7	61	3	36	3	158	78	0	0.00008
193	Nickel Belt	0	181	99.99994	0	63	0	15	31	11	1	2	21	0	6	0	24	7	0	0.00006
194	Nipissing–Timiskaming	0	334	99.99993	4	87	6	18	30	28	1	7	55	3	15	1	48	31	0	0.00007
195	Northumberland–Peterborough South	0	719	99.99994	5	157	2	35	61	48	0	12	231	8	28	5	81	46	0	0.00006
196	Oakville	0	971	99.99994	15	258	8	98	42	92	2	11	102	2	51	2	133	154	0	0.00006
197	Oakville North–Burlington	0	846	99.99992	6	238	2	64	52	64	3	12	81	5	87	1	138	92	0	0.00008
198	Oshawa	0	454	99.99993	7	122	1	13	35	30	0	17	123	5	10	3	49	39	0	0.00007
199	Ottawa Centre	0	1083	99.99995	9	236	1	355	35	75	6	4	113	9	65	7	149	18	0	0.00005
200	Orléans	0	863	99.99994	8	222	5	70	53	178	1	8	114	6	35	2	127	34	0	0.00006
